,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,4530.54,4337.134,4309.532,4213.0786,4248.692,4227.0156,4188.1914,4211.9556,4241.6704,4258.946,4218.637,4163.7935,4143.494,4164.5015,4096.5103,4124.928,4082.8643,4157.0015,4149.3413,4087.9658,4130.8154,3998.0303,4033.1023,4012.4883,3849.29,3845.2595,3786.5986,3778.5623,3779.7964,3690.5884,4102.0107
1,4517.938,4338.3896,4299.8555,4199.6265,4238.674,4215.9097,4179.809,4211.951,4231.708,4252.048,4221.434,4166.81,4146.7236,4173.3604,4109.9243,4131.6396,4093.7747,4157.805,4138.584,4091.1638,4138.1646,4030.278,4057.2083,4052.3953,3894.466,3902.984,3842.123,3828.4985,3832.2427,3761.3184,4115.2275
2,4494.1523,4331.6006,4298.355,4198.2983,4230.3105,4204.066,4170.134,4201.5767,4223.7,4243.0654,4216.2656,4163.5327,4144.8276,4175.2534,4117.0586,4133.3433,4099.1987,4160.8335,4146.732,4101.0557,4144.5923,4040.585,4061.3447,4055.451,3914.9946,3906.886,3860.3132,3848.9304,3832.243,3761.9153,4116.0205
3,4478.2935,4331.7715,4299.4443,4206.907,4219.0483,4186.897,4153.667,4181.8257,4204.599,4223.335,4197.135,4147.5635,4134.5215,4170.229,4123.455,4131.7817,4100.6016,4160.022,4144.2354,4103.8555,4144.7534,4061.4766,4081.2449,4081.955,3961.6384,3959.6975,3919.6748,3907.3416,3880.3774,3824.2476,4124.0527
4,4460.5493,4321.2856,4287.3633,4194.342,4215.1562,4181.328,4149.3726,4177.312,4200.2085,4218.336,4192.5225,4143.5405,4131.75,4168.406,4115.737,4129.6626,4099.62,4157.44,4130.7417,4100.024,4142.12,4061.7747,4067.9585,4084.1123,3953.199,3959.3848,3916.1587,3910.4966,3884.8044,3821.2197,4119.197
5,4452.697,4313.72,4284.1797,4194.552,4214.451,4181.1006,4148.4927,4176.025,4198.261,4217.6626,4192.649,4143.6924,4132.23,4169.85,4117.925,4131.371,4102.637,4159.9395,4135.929,4105.668,4146.404,4067.7883,4075.4314,4087.2268,3962.759,3963.2275,3920.224,3914.4807,3890.2449,3824.9868,4120.8604
6,4461.196,4320.5405,4291.606,4200.922,4213.5615,4180.2676,4147.3438,4175.853,4197.1753,4216.347,4192.3877,4143.4585,4131.9995,4170.25,4124.022,4132.378,4103.446,4160.511,4140.698,4106.3896,4146.085,4072.226,4085.8113,4093.723,3979.2766,3977.602,3940.4385,3925.0872,3900.6707,3848.102,4125.979
7,4460.227,4320.909,4289.8936,4197.2305,4212.68,4178.613,4146.6367,4175.1943,4197.0767,4215.7236,4191.5415,4142.8916,4131.288,4169.288,4121.8276,4130.6646,4101.8257,4158.788,4137.441,4103.475,4143.7344,4068.3076,4078.0117,4090.082,3970.7136,3971.3723,3935.2532,3924.5308,3895.324,3839.7249,4123.3423
8,4456.7046,4319.3345,4288.837,4197.8154,4211.781,4176.705,4144.704,4171.6543,4194.2773,4213.114,4187.8843,4139.749,4129.175,4167.5215,4120.959,4129.7046,4100.8887,4158.0835,4137.5747,4103.836,4143.5864,4068.369,4077.9097,4089.5295,3971.3286,3971.7112,3937.0828,3926.884,3895.1907,3839.4917,4122.38
9,4457.7246,4320.2065,4289.4727,4198.3784,4212.014,4176.8545,4144.6357,4171.367,4193.9927,4212.644,4187.014,4138.853,4128.6123,4166.865,4120.014,4129.2695,4100.2275,4157.545,4135.58,4102.6523,4142.747,4068.17,4076.751,4090.6414,3970.4448,3973.9167,3938.193,3926.2424,3896.7202,3842.4924,4122.3413
10,4476.256,4348.8584,4312.3115,4219.593,4216.113,4180.802,4147.8037,4173.6455,4197.349,4215.8545,4187.912,4140.0225,4128.603,4165.209,4131.8267,4127.62,4094.766,4157.295,4145.6846,4102.3696,4140.1235,4061.359,4087.0034,4083.7039,3985.1843,3976.3293,3955.637,3919.0144,3884.8855,3850.6204,4127.1255
11,4497.0645,4381.136,4329.1636,4235.531,4217.6772,4177.4937,4145.7285,4167.1206,4195.26,4210.938,4175.6587,4129.5063,4118.7876,4152.319,4119.468,4113.8,4076.2483,4144.8184,4132.741,4083.4968,4121.893,4033.7014,4063.4927,4061.36,3957.8298,3964.9958,3951.637,3895.9417,3854.6802,3834.105,4118.12
12,4523.749,4381.89,4328.9517,4229.528,4218.7065,4173.353,4143.871,4157.709,4192.7314,4205.878,4161.0796,4116.3867,4108.369,4137.4683,4097.7446,4099.453,4061.7256,4129.797,4110.8745,4060.8206,4106.196,4001.2598,4015.995,4032.6836,3894.4875,3924.609,3888.675,3867.6343,3811.8323,3769.8918,4098.445
13,4533.512,4379.5986,4324.0293,4222.097,4228.7495,4187.256,4154.2896,4164.9277,4201.9863,4215.646,4167.143,4120.954,4112.5054,4136.092,4085.0208,4102.4985,4061.5134,4132.1436,4118.3076,4063.8591,4111.6963,3987.155,4012.1045,4020.8547,3864.9712,3889.2998,3841.293,3840.636,3789.1592,3728.9019,4093.2725
14,4564.9707,4394.299,4339.8306,4237.674,4239.354,4207.0537,4170.825,4187.625,4221.606,4235.561,4188.167,4138.1855,4123.645,4145.2485,4094.4746,4108.175,4064.8032,4136.645,4127.364,4065.7764,4114.3013,3992.039,4030.5774,4019.5862,3861.9263,3880.4043,3828.164,3819.54,3785.7017,3731.2017,4101.8247
15,4581.1533,4403.735,4345.746,4237.657,4242.806,4214.0264,4177.9316,4198.826,4231.911,4245.053,4199.0923,4147.283,4128.169,4148.9863,4098.1494,4106.7246,4062.8125,4134.705,4129.232,4062.1506,4109.5596,3980.5254,4026.393,4005.1545,3846.5332,3856.188,3807.1924,3806.645,3766.9824,3710.1343,4100.3823
16,4577.7666,4403.361,4345.459,4237.562,4239.69,4207.8184,4172.5957,4191.042,4225.395,4238.7046,4191.8286,4141.4443,4124.168,4145.9155,4096.3315,4104.4507,4061.1147,4133.1665,4129.1577,4061.7695,4108.8345,3980.5776,4025.0522,4005.3608,3850.0469,3858.897,3814.8032,3814.0576,3766.1267,3710.5488,4098.768
17,4572.668,4401.298,4342.7036,4235.312,4238.006,4204.2637,4169.431,4186.045,4221.214,4234.4375,4186.161,4136.63,4121.1333,4142.801,4092.9253,4102.919,4059.6235,4131.725,4124.4624,4059.62,4107.545,3981.0452,4020.4119,4007.7312,3849.5017,3864.152,3818.4402,3816.8474,3769.532,3714.2217,4097.0933
18,4546.5894,4377.0767,4323.1816,4215.393,4238.713,4206.441,4171.8843,4189.391,4224.2817,4237.6934,4190.349,4140.0776,4124.663,4146.093,4084.0217,4102.6304,4063.569,4134.13,4114.9136,4061.3264,4108.873,3983.5063,4007.863,4009.1472,3831.509,3849.401,3791.3062,3795.6504,3770.059,3693.9214,4091.122
19,4535.03,4358.457,4317.0005,4212.902,4241.229,4213.206,4177.0757,4198.141,4229.8486,4245.2236,4202.582,4150.5625,4133.584,4156.2324,4092.8281,4112.849,4075.2014,4144.4453,4128.252,4076.0679,4121.8823,3998.3542,4028.8667,4019.1782,3850.354,3859.583,3797.1582,3802.6492,3786.7876,3705.579,4099.037
20,4540.4814,4368.742,4325.562,4226.9404,4239.564,4213.2373,4177.01,4202.918,4230.8477,4246.8696,4209.708,4156.9395,4138.487,4163.699,4109.3516,4123.2812,4082.9983,4150.624,4143.1035,4084.228,4130.4756,4014.0735,4052.469,4035.3086,3884.5847,3889.5823,3834.9695,3830.4404,3809.4883,3744.3477,4112.0107
21,4528.2046,4366.4136,4319.609,4218.243,4233.723,4204.6904,4170.428,4196.928,4224.403,4240.2817,4205.4404,4153.851,4136.4707,4163.729,4110.9956,4122.709,4084.5803,4150.4053,4138.51,4084.8013,4131.026,4020.1846,4049.2966,4042.2217,3893.655,3897.8804,3848.705,3845.4055,3816.392,3752.6511,4111.728
22,4512.9233,4357.9644,4314.0264,4215.3623,4228.443,4196.126,4162.574,4186.6333,4214.6426,4231.17,4196.4604,4146.566,4132.1514,4162.0,4112.0166,4122.619,4086.0933,4150.9893,4138.9473,4088.1611,4133.1064,4028.6099,4053.9224,4050.2961,3908.7173,3913.7935,3868.4648,3864.7097,3830.341,3767.0947,4112.498
23,4506.13,4353.9165,4311.417,4213.9844,4226.202,4192.925,4159.4536,4183.1494,4210.7354,4227.372,4193.063,4143.6396,4130.5513,4161.577,4111.637,4122.9717,4087.162,4151.33,4136.108,4088.8398,4133.407,4034.062,4057.415,4057.4673,3917.5989,3926.5117,3880.8909,3873.7268,3841.463,3781.3184,4113.868
24,4524.3105,4378.678,4333.446,4235.8896,4228.354,4194.861,4160.534,4183.6343,4211.658,4228.253,4192.5083,4143.3745,4129.201,4159.3315,4121.9043,4120.4814,4083.4011,4150.153,4143.849,4088.4707,4130.26,4029.3835,4070.8674,4052.7805,3935.7927,3933.2803,3904.5327,3875.817,3835.2258,3797.4915,4119.2573
25,4532.822,4382.8423,4333.081,4230.321,4225.6846,4188.0845,4155.967,4176.2407,4207.3535,4221.4824,4181.481,4133.7236,4121.1743,4150.0195,4109.975,4110.116,4072.1365,4139.532,4123.584,4071.7263,4116.937,4011.551,4039.576,4040.3271,3902.0662,3916.2683,3884.705,3866.6777,3817.9736,3775.3447,4107.9595
26,4547.315,4393.6797,4341.5854,4237.5957,4229.525,4190.762,4157.5845,4172.821,4207.304,4221.7456,4176.4624,4129.26,4117.3,4142.9985,4100.739,4105.295,4064.9983,4135.5303,4129.9536,4068.663,4113.7783,3998.2551,4035.0183,4023.7239,3887.3867,3896.606,3865.271,3847.4243,3793.6833,3749.5679,4102.7285
27,4568.847,4411.5293,4354.4517,4246.933,4233.096,4194.7026,4160.506,4174.328,4210.221,4223.102,4173.611,4126.159,4113.6416,4136.5635,4095.719,4098.7065,4055.9246,4128.7754,4119.7246,4057.166,4104.255,3984.275,4024.9827,4014.6965,3873.6821,3890.9868,3857.2795,3835.7395,3781.3867,3746.4373,4099.914
28,4596.3228,4426.047,4361.3086,4249.626,4238.226,4201.3506,4166.566,4179.0527,4217.581,4229.035,4174.944,4126.702,4111.384,4130.501,4085.1775,4090.0244,4044.7168,4119.797,4114.9966,4044.3916,4093.318,3959.2454,4005.7688,3988.766,3834.3904,3851.818,3814.2253,3806.1084,3745.1765,3703.2676,4090.3281
29,4614.3584,4436.823,4367.7197,4254.0796,4241.416,4204.6494,4168.776,4178.513,4219.33,4229.7617,4171.4775,4123.1963,4107.319,4123.308,4075.7295,4083.17,4035.8547,4112.9478,4111.0933,4035.5361,4084.5122,3943.6372,3994.1238,3973.4187,3813.295,3831.7927,3792.086,3788.6143,3724.7273,3682.1252,4084.1133
30,4634.1846,4448.8174,4374.9707,4258.4404,4245.085,4209.8496,4172.778,4181.287,4223.6255,4232.8594,4170.792,4121.884,4104.3354,4117.4165,4067.8,4076.277,4027.008,4105.721,4104.9224,4025.367,4074.8591,3927.5254,3982.3977,3958.6287,3791.8833,3812.3408,3769.7188,3772.1458,3705.8435,3663.8562,4078.7542
31,4653.2,4460.497,4381.8994,4262.336,4248.456,4214.7827,4176.5537,4183.839,4227.7695,4235.8584,4170.1963,4120.6206,4101.0337,4111.3228,4059.3994,4068.6252,4017.6326,4097.7866,4099.912,4015.1748,4064.6155,3909.7664,3970.6316,3940.4734,3769.284,3788.699,3744.7178,3752.2607,3684.112,3641.4888,4072.432
32,4669.1826,4470.819,4387.9277,4265.8726,4250.6074,4217.6016,4178.391,4183.97,4229.53,4236.486,4167.311,4117.4937,4096.681,4104.5864,4051.0063,4060.9954,4008.5754,4090.0042,4093.8315,4005.3284,4055.031,3893.8105,3958.9497,3925.403,3750.8186,3770.882,3725.8484,3737.0833,3666.6814,3624.7854,4066.517
33,4681.9697,4475.4863,4388.1904,4264.055,4252.612,4220.497,4180.5156,4184.6133,4231.7134,4237.575,4165.214,4115.066,4093.2505,4098.8877,4041.508,4054.5671,4000.9543,4083.1045,4087.2766,3996.211,4046.1812,3879.3584,3944.3496,3911.7715,3729.3093,3750.866,3701.681,3719.352,3650.8733,3604.7021,4059.7236
34,4649.8867,4448.7383,4362.2646,4239.3843,4255.577,4226.2173,4186.376,4191.056,4238.5264,4244.2554,4171.6196,4120.28,4098.4497,4102.517,4031.1672,4054.342,4004.9927,4085.4392,4077.2595,3996.7153,4046.3523,3876.9438,3922.7083,3908.5007,3699.209,3723.875,3655.643,3680.2969,3646.3232,3571.2393,4050.5386
35,4682.554,4464.024,4389.5093,4275.2744,4263.6143,4241.127,4197.2646,4205.655,4249.3804,4257.4463,4188.082,4133.7773,4107.7075,4111.2583,4049.1248,4067.809,4012.5127,4094.9116,4110.188,4012.6565,4059.8833,3884.1824,3962.7378,3910.485,3737.0168,3745.4949,3689.5295,3705.726,3656.5078,3601.6277,4068.902
36,4690.796,4482.4854,4398.0215,4273.1436,4258.7344,4235.0674,4193.3696,4205.031,4247.634,4253.818,4184.6025,4130.675,4103.2134,4109.1104,4054.5718,4060.6323,4006.514,4087.9707,4091.7117,4000.553,4050.8667,3882.9797,3962.853,3916.264,3741.4082,3760.0222,3710.6448,3721.9421,3661.2278,3624.8152,4070.0225
37,4694.1826,4493.587,4402.3677,4274.7407,4253.818,4223.231,4182.462,4187.418,4234.5845,4239.84,4166.7266,4115.673,4090.2656,4095.3545,4041.7117,4046.6787,3992.662,4075.632,4087.7053,3989.3972,4038.0842,3863.0886,3943.424,3893.476,3723.6653,3734.9832,3697.0361,3708.9448,3631.664,3594.5928,4057.2334
38,4703.612,4505.4863,4407.342,4277.506,4249.714,4212.7983,4172.135,4170.3774,4221.3403,4224.9395,4145.9844,4098.0225,4076.664,4080.0688,4028.535,4035.0122,3979.9875,4065.077,4071.7622,3975.5396,4026.8757,3852.0762,3926.4966,3891.1414,3717.4119,3741.9072,3703.8628,3708.891,3626.294,3599.3337,4049.8735
39,4722.312,4502.3027,4398.362,4265.8945,4253.154,4218.471,4176.6113,4172.128,4226.129,4227.551,4142.707,4094.0427,4071.2175,4070.3723,4006.5698,4024.1895,3967.4133,4052.6375,4057.3088,3958.3696,4010.3662,3826.2102,3890.5251,3866.843,3668.2847,3697.1013,3643.9421,3672.8794,3598.2922,3552.4404,4034.4878
40,4591.0537,4375.0156,4285.1187,4166.931,4262.495,4235.6445,4195.471,4194.7935,4228.4624,4250.4736,4168.498,4116.0327,4081.0906,4090.3057,3982.7388,4012.9614,3990.7139,4040.6123,4025.1143,3974.1396,4014.9797,3836.4482,3848.6565,3872.689,3605.3296,3619.093,3532.472,3557.6592,3603.4304,3475.5503,4007.798
41,4689.025,4445.1685,4392.912,4308.6753,4283.1753,4268.121,4225.545,4239.273,4278.87,4289.2754,4221.1333,4159.556,4125.2437,4122.9316,4060.6638,4092.8816,4020.7056,4118.607,4147.3667,4028.5496,4072.5974,3876.8835,3976.3767,3895.7976,3735.1926,3728.5837,3684.938,3667.9365,3647.5388,3589.4587,4079.7659
42,4680.9224,4462.968,4382.1333,4255.607,4265.035,4251.1855,4209.1333,4235.373,4257.531,4275.5356,4215.2437,4155.7334,4122.0303,4126.3794,4063.713,4074.7,4021.703,4098.896,4089.2788,4008.0925,4059.7278,3897.0547,3963.8857,3933.1414,3742.744,3765.8406,3704.18,3711.8762,3685.775,3642.005,4078.581
43,4651.9243,4450.518,4372.3765,4250.4834,4255.63,4229.549,4190.3335,4202.643,4244.9194,4253.6396,4192.1665,4138.4946,4112.046,4121.2163,4059.3445,4071.9773,4020.9487,4099.5396,4115.387,4021.2532,4064.8782,3890.9805,3952.062,3909.8337,3739.271,3730.2415,3688.0278,3708.7625,3643.1057,3582.4688,4065.468
44,4625.966,4438.503,4365.3823,4250.972,4245.8906,4211.2993,4173.774,4181.9204,4224.0723,4233.4585,4171.334,4122.3086,4106.1035,4118.75,4065.212,4079.9727,4030.5107,4108.7827,4103.4233,4027.8318,4078.1155,3930.1846,3979.5645,3966.1882,3790.3416,3817.2375,3765.4106,3764.9878,3715.126,3666.196,4078.6272
45,4610.2466,4418.4253,4347.88,4231.0015,4252.2773,4224.4683,4186.4995,4198.86,4240.0293,4249.424,4188.397,4136.114,4115.2246,4125.995,4057.7593,4079.2727,4033.0823,4109.791,4098.694,4027.4673,4075.6929,3921.879,3964.9072,3949.3542,3752.1611,3771.395,3705.4385,3721.4775,3695.7942,3617.996,4070.234
46,4639.587,4438.2056,4375.629,4267.0386,4255.9595,4231.1475,4190.4634,4204.877,4243.272,4254.8105,4196.8496,4143.421,4120.351,4131.9214,4077.397,4089.7542,4039.2803,4117.7734,4128.516,4041.9285,4088.2966,3931.8906,4004.5698,3955.2969,3797.8887,3801.826,3752.8574,3756.2585,3708.5527,3657.0781,4088.0906
47,4642.0054,4454.4487,4380.86,4262.954,4249.53,4220.893,4182.734,4198.1206,4236.905,4245.823,4187.1084,4135.2266,4112.705,4126.3394,4078.3696,4080.4783,4031.0308,4108.8496,4106.8105,4027.1433,4076.9597,3929.142,3994.818,3960.4092,3796.2766,3813.6274,3770.472,3770.657,3710.3337,3673.8188,4085.495
48,4599.8994,4416.8394,4342.131,4224.4434,4245.7734,4212.49,4177.108,4187.383,4230.2124,4239.1655,4178.2285,4128.1455,4109.594,4122.257,4055.5186,4073.5059,4030.3237,4106.071,4093.092,4023.9958,4071.9822,3921.5103,3953.7175,3948.693,3749.766,3768.9673,3710.2153,3733.7195,3691.2373,3611.8647,4065.2617
49,4609.224,4418.304,4356.9395,4251.8774,4251.6016,4222.371,4182.946,4193.836,4233.7603,4245.603,4187.652,4136.3037,4117.9556,4130.363,4070.9326,4092.6643,4043.3054,4120.823,4124.952,4045.8901,4092.4675,3940.7627,4000.0886,3966.3584,3796.5784,3807.4543,3749.6506,3756.7102,3719.1494,3653.7234,4084.0085
50,4622.0312,4429.9214,4362.2144,4249.2603,4252.1646,4227.172,4188.4575,4206.848,4243.0635,4253.741,4198.8184,4145.3467,4123.0015,4137.318,4081.8684,4093.5881,4044.7886,4120.609,4115.3076,4040.7583,4090.0193,3946.09,4004.4185,3975.2769,3801.4666,3819.7822,3762.0713,3762.2322,3730.227,3676.6423,4090.15
51,4621.5503,4430.802,4362.402,4247.42,4250.085,4222.809,4185.1353,4201.9126,4239.6,4250.4326,4195.983,4143.3057,4120.752,4135.5645,4080.3909,4090.3086,4042.2678,4118.1772,4121.355,4041.359,4087.809,3937.6306,3995.5188,3961.2297,3795.2212,3800.0176,3752.2336,3762.8113,3711.3093,3653.4883,4085.296
52,4602.822,4421.3755,4353.991,4241.611,4244.3765,4212.0303,4175.7666,4189.307,4227.97,4239.224,4183.911,4133.692,4115.9956,4132.3477,4078.3713,4091.2366,4044.3296,4119.678,4115.836,4042.5999,4090.8977,3951.5942,3997.3777,3979.1753,3807.923,3824.7544,3774.9019,3780.3293,3731.4502,3673.946,4085.9604
53,4558.676,4378.393,4320.749,4207.571,4245.1646,4215.0117,4179.251,4194.534,4232.3193,4244.127,4191.0967,4139.817,4122.4746,4139.028,4068.7285,4089.7146,4052.5854,4122.1777,4102.8115,4048.1487,4095.27,3958.5273,3984.2952,3984.0298,3788.6912,3808.803,3741.6357,3751.7961,3737.2888,3650.6611,4078.4463
54,4576.0234,4389.4697,4341.204,4241.099,4249.628,4224.921,4186.3086,4206.1675,4239.4624,4254.1934,4206.873,4153.404,4133.253,4151.391,4092.4973,4111.6685,4065.9976,4138.986,4141.647,4068.9521,4114.321,3976.3555,4026.4297,3996.558,3835.3777,3838.925,3782.5796,3783.859,3759.944,3688.7861,4099.2095
55,4452.859,4263.5776,4204.7676,4113.8887,4239.546,4214.89,4181.143,4208.863,4213.594,4251.666,4214.5957,4160.2803,4128.519,4165.567,4069.0347,4094.1724,4082.9468,4124.189,4083.4875,4073.1465,4109.213,4005.2695,3987.5166,4028.5784,3806.6746,3804.8655,3737.7888,3722.3157,3797.1758,3670.7278,4073.695
56,4461.2095,4266.555,4251.4087,4176.2373,4238.1504,4218.179,4181.244,4214.364,4239.319,4256.7544,4232.9297,4176.9136,4156.1035,4186.405,4121.5054,4150.8496,4111.9746,4181.5537,4167.9146,4120.024,4161.383,4047.4412,4065.333,4053.6208,3911.1284,3881.143,3841.529,3799.104,3834.8682,3739.897,4114.8345
57,4439.423,4270.5776,4242.032,4151.7925,4217.5474,4193.4434,4158.78,4197.885,4204.995,4232.513,4218.8047,4164.496,4148.2456,4186.8906,4120.594,4141.975,4118.591,4170.719,4138.831,4115.1855,4157.634,4088.4924,4090.5117,4108.587,3977.301,3980.1252,3922.6587,3887.1277,3917.212,3848.6592,4127.0537
58,4411.393,4264.2915,4241.765,4160.969,4206.037,4179.293,4146.9375,4184.7812,4189.7896,4221.422,4210.3506,4158.1533,4143.1035,4185.7437,4126.067,4141.1387,4121.48,4170.5044,4145.6646,4123.1357,4161.151,4097.1323,4092.4343,4107.698,3998.8333,3981.714,3940.933,3924.1492,3916.3235,3849.4949,4126.729
59,4252.956,4104.5356,4079.1978,4015.652,4169.624,4147.7817,4116.587,4153.2954,4101.4043,4150.639,4173.099,4117.7925,4092.0142,4171.9746,4069.4282,4074.0532,4113.6743,4096.6724,4052.2253,4107.7637,4124.226,4110.94,4032.6562,4128.4746,3952.7192,3960.516,3897.9746,3896.3215,3978.7122,3854.178,4076.5698
60,4224.368,4052.3406,4068.7031,4019.3271,4155.215,4140.159,4103.3193,4146.4897,4127.446,4150.9497,4176.2275,4124.7295,4099.292,4174.96,4091.5562,4105.2354,4126.299,4124.4297,4092.973,4124.4795,4148.9175,4142.195,4082.9998,4141.5645,4022.7585,3981.8662,3942.9768,3930.9404,4009.1604,3917.0193,4091.6296
61,4190.8833,4015.0312,4025.1465,3963.7048,4074.131,4097.435,4070.2068,4113.427,4050.3867,4071.7102,4132.993,4086.3818,4065.641,4153.347,4050.958,4055.622,4094.236,4078.5264,4038.5876,4084.1743,4102.1885,4133.8735,4061.2898,4139.9854,4033.9692,3999.579,3962.1152,3949.9985,4027.8542,3968.5273,4063.0635
62,4231.4854,4125.2983,4149.1753,4094.1296,4110.35,4098.189,4056.6992,4106.0195,4101.2397,4127.9336,4144.54,4096.974,4084.3508,4148.39,4112.3735,4097.415,4099.5537,4125.937,4110.3184,4100.815,4135.6943,4141.476,4122.3433,4135.837,4137.314,4106.8726,4093.653,4083.33,4055.196,4053.706,4112.887
63,4190.373,4122.953,4140.936,4081.675,4098.465,4072.4617,4037.2249,4079.357,4054.3875,4086.1448,4107.2305,4061.1797,4054.7827,4117.1353,4058.3335,4059.2415,4073.843,4082.0684,4021.635,4062.1035,4105.588,4115.142,4062.828,4125.8457,4095.1553,4085.405,4053.3882,4085.3906,4053.939,4036.6746,4082.6958
64,4191.3345,4119.1274,4139.773,4081.5674,4109.446,4079.6877,4047.784,4084.6355,4063.5476,4110.986,4113.6396,4069.0725,4063.4648,4126.9175,4068.445,4067.488,4083.712,4097.105,4043.2576,4080.8655,4118.8115,4123.495,4071.9924,4126.543,4091.9163,4080.2134,4057.5393,4085.63,4059.8591,4036.1648,4089.8003
65,4200.629,4120.6016,4139.2803,4085.3455,4112.8394,4081.282,4047.1135,4083.728,4062.5178,4099.86,4109.842,4063.5784,4059.9377,4120.5913,4057.764,4060.7822,4075.613,4088.6704,4028.8423,4069.807,4109.24,4117.0107,4061.3918,4129.29,4078.6235,4078.2903,4041.671,4080.4482,4053.8398,4029.0847,4084.917
66,4240.12,4153.9956,4168.2983,4105.6577,4126.858,4098.357,4064.254,4103.12,4092.508,4128.5566,4133.301,4087.0483,4081.063,4141.5474,4085.22,4087.9739,4091.1057,4112.802,4068.7058,4088.6064,4128.3423,4127.192,4087.4263,4135.6274,4098.0293,4084.7266,4054.1604,4078.4036,4053.7737,4027.7102,4104.4834
67,4249.9683,4186.7417,4190.0615,4124.459,4132.7637,4103.7637,4070.9595,4107.9116,4111.6704,4135.677,4136.428,4091.1653,4086.606,4142.9453,4104.536,4092.3877,4091.7056,4118.31,4083.3376,4091.317,4134.787,4126.466,4095.6306,4138.862,4105.134,4092.2153,4077.5237,4077.544,4051.0664,4038.238,4113.0063
68,4266.136,4185.78,4192.4546,4127.06,4142.914,4106.0195,4075.7864,4109.833,4103.2544,4139.1455,4135.6685,4090.471,4087.395,4145.2446,4092.162,4094.9746,4093.2935,4120.565,4069.8767,4091.0,4134.7847,4121.7334,4082.5566,4138.101,4084.6592,4082.842,4056.2793,4068.3076,4040.3699,4016.3965,4109.8354
69,4290.689,4211.194,4215.155,4143.282,4155.7637,4118.947,4087.1301,4118.9683,4124.1016,4151.6377,4144.6885,4099.8975,4096.103,4153.206,4110.5913,4106.3125,4096.7993,4133.392,4102.388,4102.1846,4143.5635,4121.194,4096.02,4136.082,4085.856,4083.3582,4062.0854,4057.182,4031.8882,4005.3606,4119.501
